feature,importance
Price_in_Lakhs,0.24623688024261428
Price_per_SqFt,0.23792519515458438
BHK,0.16089233833733133
Amenities_Score,0.11454163504607019
Availability_Status,0.07058886997501254
Is_Ready_To_Move,0.06622901593553718
Size_in_SqFt,0.03238410944465848
Nearby_Hospitals,0.02302319840317417
Nearby_Schools,0.022451599124138022
Locality,0.003295063300172176
Amenities,0.003072592998260548
City,0.0025765201719838734
Floor_No,0.0023971150246487227
Total_Floors,0.0023870354744123645
State,0.002040161961410463
Year_Built,0.0020173737789926935
Age_of_Property,0.0020120755215209535
Facing,0.0009728970573631947
Owner_Type,0.0007407415356651162
Property_Type,0.0007394416875684987
Public_Transport_Accessibility,0.0006372183125720376
Furnished_Score,0.0005665896794153648
Furnished_Status,0.0005532148464078033
Has_Security,0.0003551592655662546
Security,0.00034787557331463333
Parking_Space,0.00034666898854367385
Has_Parking,0.000344102790215632
Has_High_Transport,0.0003253103688452645
